"year","month","content_type","events","dau","events_per_active_user"
2024,1,"database","102","30","3.40"
2024,1,"page","46","11","4.18"
2024,1,"task_board","92","21","4.38"
2024,1,"wiki","145","35","4.14"
2024,1,NULL,"385","97","3.97"
2024,2,"database","207","33","6.27"
2024,2,"page","75","14","5.36"
2024,2,"task_board","186","44","4.23"
2024,2,"wiki","279","48","5.81"
2024,2,NULL,"747","139","5.37"
2024,3,"database","318","71","4.48"
2024,3,"page","125","18","6.94"
2024,3,"task_board","269","74","3.64"
2024,3,"wiki","406","96","4.23"
2024,3,NULL,"1118","259","4.32"
2024,4,"database","418","86","4.86"
2024,4,"page","149","33","4.52"
2024,4,"task_board","346","72","4.81"
2024,4,"wiki","540","107","5.05"
2024,4,NULL,"1453","298","4.88"
2024,5,"database","539","139","3.88"
2024,5,"page","173","34","5.09"
2024,5,"task_board","461","103","4.48"
2024,5,"wiki","678","128","5.30"
2024,5,NULL,"1851","404","4.58"
2024,6,"database","616","118","5.22"
2024,6,"page","215","36","5.97"
2024,6,"task_board","548","104","5.27"
2024,6,"wiki","806","147","5.48"
2024,6,NULL,"2185","405","5.40"
2024,7,"database","696","134","5.19"
2024,7,"page","240","53","4.53"
2024,7,"task_board","635","125","5.08"
2024,7,"wiki","962","196","4.91"
2024,7,NULL,"2533","508","4.99"
2024,8,"database","841","191","4.40"
2024,8,"page","281","74","3.80"
2024,8,"task_board","698","138","5.06"
2024,8,"wiki","1098","230","4.77"
2024,8,NULL,"2918","633","4.61"
2024,9,"database","896","185","4.84"
2024,9,"page","309","58","5.33"
2024,9,"task_board","810","152","5.33"
2024,9,"wiki","1233","251","4.91"
2024,9,NULL,"3248","646","5.03"
2024,10,"database","991","185","5.36"
2024,10,"page","349","75","4.65"
2024,10,"task_board","910","199","4.57"
2024,10,"wiki","1329","287","4.63"
2024,10,NULL,"3579","746","4.80"
2024,11,"database","1157","208","5.56"
2024,11,"page","384","69","5.57"
2024,11,"task_board","1006","199","5.06"
2024,11,"wiki","1480","288","5.14"
2024,11,NULL,"4027","764","5.27"
2024,12,"database","1180","242","4.88"
2024,12,"page","431","73","5.90"
2024,12,"task_board","1093","231","4.73"
2024,12,"wiki","1620","344","4.71"
2024,12,NULL,"4324","890","4.86"
2024,NULL,"database","7961","1622","4.91"
2024,NULL,"page","2777","548","5.07"
2024,NULL,"task_board","7054","1462","4.82"
2024,NULL,"wiki","10576","2157","4.90"
2024,NULL,NULL,"28368","5789","4.90"
2025,1,"database","1319","259","5.09"
2025,1,"page","457","102","4.48"
2025,1,"task_board","1208","260","4.65"
2025,1,"wiki","1733","380","4.56"
2025,1,NULL,"4717","1001","4.71"
2025,2,"database","1388","259","5.36"
2025,2,"page","484","94","5.15"
2025,2,"task_board","1283","259","4.95"
2025,2,"wiki","1907","356","5.36"
2025,2,NULL,"5062","968","5.23"
2025,3,"database","1524","296","5.15"
2025,3,"page","574","130","4.42"
2025,3,"task_board","1348","269","5.01"
2025,3,"wiki","1983","395","5.02"
2025,3,NULL,"5429","1090","4.98"
2025,4,"database","1636","291","5.62"
2025,4,"page","556","103","5.40"
2025,4,"task_board","1444","267","5.41"
2025,4,"wiki","2169","408","5.32"
2025,4,NULL,"5805","1069","5.43"
2025,5,"database","1685","330","5.11"
2025,5,"page","596","115","5.18"
2025,5,"task_board","1539","317","4.85"
2025,5,"wiki","2318","428","5.42"
2025,5,NULL,"6138","1190","5.16"
2025,6,"database","1778","370","4.81"
2025,6,"page","610","126","4.84"
2025,6,"task_board","1604","309","5.19"
2025,6,"wiki","2458","483","5.09"
2025,6,NULL,"6450","1288","5.01"
2025,7,"database","1841","355","5.19"
2025,7,"page","719","143","5.03"
2025,7,"task_board","1707","362","4.72"
2025,7,"wiki","2633","544","4.84"
2025,7,NULL,"6900","1404","4.91"
2025,8,"database","2040","421","4.85"
2025,8,"page","673","133","5.06"
2025,8,"task_board","1801","361","4.99"
2025,8,"wiki","2724","548","4.97"
2025,8,NULL,"7238","1463","4.95"
2025,9,"database","2167","401","5.40"
2025,9,"page","723","121","5.98"
2025,9,"task_board","1884","368","5.12"
2025,9,"wiki","2840","515","5.51"
2025,9,NULL,"7614","1405","5.42"
2025,10,"database","2206","432","5.11"
2025,10,"page","780","173","4.51"
2025,10,"task_board","1984","383","5.18"
2025,10,"wiki","2970","617","4.81"
2025,10,NULL,"7940","1605","4.95"
2025,11,"database","2327","418","5.57"
2025,11,"page","787","144","5.47"
2025,11,"task_board","2023","401","5.04"
2025,11,"wiki","3187","665","4.79"
2025,11,NULL,"8324","1628","5.11"
2025,12,"database","2521","494","5.10"
2025,12,"page","808","175","4.62"
2025,12,"task_board","2103","437","4.81"
