"signup_month","new_users","activated_users","activation_rate"
"2024-01-01","20","14","0.7000"
"2024-02-01","19","12","0.6316"
"2024-03-01","20","15","0.7500"
"2024-04-01","20","15","0.7500"
"2024-05-01","20","17","0.8500"
"2024-06-01","20","16","0.8000"
"2024-07-01","20","12","0.6000"
"2024-08-01","20","13","0.6500"
"2024-09-01","19","15","0.7895"
"2024-10-01","20","13","0.6500"
"2024-11-01","19","12","0.6316"
"2024-12-01","20","16","0.8000"
"2025-01-01","20","15","0.7500"
"2025-02-01","20","15","0.7500"
"2025-03-01","20","15","0.7500"
"2025-04-01","20","16","0.8000"
"2025-05-01","20","18","0.9000"
"2025-06-01","20","14","0.7000"
"2025-07-01","20","14","0.7000"
"2025-08-01","20","17","0.8500"
"2025-09-01","20","15","0.7500"
"2025-10-01","20","15","0.7500"
"2025-11-01","20","17","0.8500"
"2025-12-01","20","15","0.7500"
