"year","month","platform","events","dau","avg_session_duration_sec"
2024,1,"desktop","141","34","2802.9"
2024,1,"mobile","25","7","1166.1"
2024,1,"web","219","56","2118.5"
2024,1,NULL,"385","97","2307.3"
2024,2,"desktop","228","42","2777.5"
2024,2,"mobile","54","6","1138.5"
2024,2,"web","465","91","2108.5"
2024,2,NULL,"747","139","2242.6"
2024,3,"desktop","410","86","2781.7"
2024,3,"mobile","75","9","1165.2"
2024,3,"web","633","164","2104.4"
2024,3,NULL,"1118","259","2289.8"
2024,4,"desktop","514","107","2780.1"
2024,4,"mobile","83","19","1167.5"
2024,4,"web","856","172","2103.1"
2024,4,NULL,"1453","298","2289.1"
2024,5,"desktop","641","138","2794.6"
2024,5,"mobile","130","26","1166.3"
2024,5,"web","1080","240","2099.9"
2024,5,NULL,"1851","404","2274.9"
2024,6,"desktop","743","138","2795.0"
2024,6,"mobile","135","23","1140.3"
2024,6,"web","1307","244","2100.5"
2024,6,NULL,"2185","405","2277.3"
2024,7,"desktop","923","175","2817.7"
2024,7,"mobile","167","34","1140.6"
2024,7,"web","1443","299","2099.9"
2024,7,NULL,"2533","508","2298.2"
2024,8,"desktop","1038","239","2809.0"
2024,8,"mobile","191","38","1147.8"
2024,8,"web","1689","356","2097.8"
2024,8,NULL,"2918","633","2288.6"
2024,9,"desktop","1124","231","2807.7"
2024,9,"mobile","214","47","1155.2"
2024,9,"web","1910","368","2106.1"
2024,9,NULL,"3248","646","2286.2"
2024,10,"desktop","1247","250","2800.5"
2024,10,"mobile","227","45","1151.3"
2024,10,"web","2105","451","2093.8"
2024,10,NULL,"3579","746","2280.3"
2024,11,"desktop","1428","277","2798.4"
2024,11,"mobile","263","53","1158.8"
2024,11,"web","2336","434","2097.4"
2024,11,NULL,"4027","764","2284.7"
2024,12,"desktop","1534","316","2801.9"
2024,12,"mobile","257","62","1143.4"
2024,12,"web","2533","512","2104.5"
2024,12,NULL,"4324","890","2294.8"
2024,NULL,NULL,"28368","5789","2285.9"
2025,1,"desktop","1669","352","2807.6"
2025,1,"mobile","312","52","1139.1"
2025,1,"web","2736","597","2096.2"
2025,1,NULL,"4717","1001","2284.6"
2025,2,"desktop","1852","330","2793.7"
2025,2,"mobile","330","69","1159.5"
2025,2,"web","2880","569","2097.6"
2025,2,NULL,"5062","968","2291.1"
2025,3,"desktop","1896","375","2811.3"
2025,3,"mobile","362","85","1159.3"
2025,3,"web","3171","630","2099.8"
2025,3,NULL,"5429","1090","2285.6"
2025,4,"desktop","2097","389","2799.4"
2025,4,"mobile","326","50","1160.2"
2025,4,"web","3382","630","2097.5"
2025,4,NULL,"5805","1069","2298.4"
2025,5,"desktop","2173","428","2794.5"
2025,5,"mobile","372","71","1153.7"
2025,5,"web","3593","691","2097.5"
2025,5,NULL,"6138","1190","2287.0"
2025,6,"desktop","2259","449","2798.7"
2025,6,"mobile","464","98","1141.5"
2025,6,"web","3727","741","2100.1"
2025,6,NULL,"6450","1288","2275.8"
2025,7,"desktop","2405","497","2798.4"
2025,7,"mobile","444","81","1147.4"
2025,7,"web","4051","826","2102.6"
2025,7,NULL,"6900","1404","2283.7"
2025,8,"desktop","2598","533","2792.9"
2025,8,"mobile","454","85","1163.0"
2025,8,"web","4186","845","2100.7"
2025,8,NULL,"7238","1463","2290.3"
2025,9,"desktop","2747","495","2798.5"
2025,9,"mobile","543","104","1148.0"
2025,9,"web","4324","806","2097.9"
2025,9,NULL,"7614","1405","2283.0"
2025,10,"desktop","2727","591","2803.0"
2025,10,"mobile","499","94","1145.3"
2025,10,"web","4714","920","2102.6"
2025,10,NULL,"7940","1605","2283.0"
2025,11,"desktop","2938","566","2800.6"
2025,11,"mobile","556","101","1149.0"
2025,11,"web","4830","961","2102.1"
2025,11,NULL,"8324","1628","2285.0"
2025,12,"desktop","3065","616","2796.5"
2025,12,"mobile","579","111","1151.0"
2025,12,"web","5009","1049","2098.7"
2025,12,NULL,"8653","1776","2282.4"
2025,NULL,NULL,"80270","15887","2285.5"
NULL,NULL,NULL,"108638","21676","2285.6"
