"year","month","work_mode","events","proportion"
2024,1,"collaborative","273","0.7091"
2024,1,"individual","112","0.2909"
2024,2,"collaborative","573","0.7671"
2024,2,"individual","174","0.2329"
2024,3,"collaborative","860","0.7692"
2024,3,"individual","258","0.2308"
2024,4,"collaborative","1112","0.7653"
2024,4,"individual","341","0.2347"
2024,5,"collaborative","1443","0.7796"
2024,5,"individual","408","0.2204"
2024,6,"collaborative","1699","0.7776"
2024,6,"individual","486","0.2224"
2024,7,"collaborative","1933","0.7631"
2024,7,"individual","600","0.2369"
2024,8,"collaborative","2246","0.7697"
2024,8,"individual","672","0.2303"
2024,9,"collaborative","2504","0.7709"
2024,9,"individual","744","0.2291"
2024,10,"collaborative","2708","0.7566"
2024,10,"individual","871","0.2434"
2024,11,"collaborative","3047","0.7566"
2024,11,"individual","980","0.2434"
2024,12,"collaborative","3377","0.7810"
2024,12,"individual","947","0.2190"
2025,1,"collaborative","3569","0.7566"
2025,1,"individual","1148","0.2434"
2025,2,"collaborative","3785","0.7477"
2025,2,"individual","1277","0.2523"
2025,3,"collaborative","4058","0.7475"
2025,3,"individual","1371","0.2525"
2025,4,"collaborative","4392","0.7566"
2025,4,"individual","1413","0.2434"
2025,5,"collaborative","4612","0.7514"
2025,5,"individual","1526","0.2486"
2025,6,"collaborative","4966","0.7699"
2025,6,"individual","1484","0.2301"
2025,7,"collaborative","5230","0.7580"
2025,7,"individual","1670","0.2420"
2025,8,"collaborative","5454","0.7535"
2025,8,"individual","1784","0.2465"
2025,9,"collaborative","5870","0.7709"
2025,9,"individual","1744","0.2291"
2025,10,"collaborative","5969","0.7518"
2025,10,"individual","1971","0.2482"
2025,11,"collaborative","6296","0.7564"
2025,11,"individual","2028","0.2436"
2025,12,"collaborative","6591","0.7617"
2025,12,"individual","2062","0.2383"
